amfi_code,scheme_name,category,benchmark_used,beta_ols,alpha_ann_pct_ols,r_squared,ref_alpha,ref_beta
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Nifty100,-0.05826843143880891,-3.131164040908976,0.0026650326981333245,0.78,0.97
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,Crisil_Liquid,-0.1130172409554605,-2.2326894206118753,0.00022412309196465617,1.98,0.44
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Nifty_Midcap150,0.03102586633278663,20.03636439429144,0.0008529288178184064,0.95,0.91
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,Nifty100,0.02108631625012803,15.036845831677045,0.0003480482030714251,1.34,1.03
101207,ABSL Small Cap Fund - Regular - Growth,Equity,Bse_Smallcap,-0.0486038840215911,5.153355612996978,0.0017401816088941273,1.84,0.97
101208,ABSL Liquid Fund - Regular - Growth,Debt,Crisil_Liquid,-0.03017686549184378,-0.4178518224101091,0.0009501475621760362,1.18,0.43
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Nifty50,-0.0018841874054637182,10.480464339659237,3.5671281178361515e-06,0.93,0.9
102886,UTI Mid Cap Fund - Regular - Growth,Equity,Nifty_Midcap150,-0.049089958092348264,-2.6651524970676634,0.002328330062237052,1.12,0.92
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,Nifty500,-0.01498712534785876,9.98603403280042,0.00017388837520694974,1.79,1.0
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,Nifty100,-0.008353832126962012,15.27509799578339,5.79175627012782e-05,0.86,0.88
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,Nifty100,-0.03663900671860935,8.905682404498709,0.0011382947171084277,1.7,1.02
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,Bse_Smallcap,5.404802887019474e-05,11.318092075498395,2.247659699029795e-09,0.8,1.03
118635,Nippon India Etf Nifty 50 Bees,Equity,Nifty50,-0.013806609371555973,8.570859402630562,0.0001872344611882792,1.8,1.04
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Crisil_Gilt,-0.009714078122207086,-1.385262236212857,0.00010136093113889067,0.89,0.37
119092,Axis Bluechip Fund - Regular - Growth,Equity,Nifty100,0.009730745001153637,0.462779664185048,8.08263769381077e-05,1.41,0.91
119093,Axis Bluechip Fund - Direct - Growth,Equity,Nifty100,0.02588321244009314,1.9010421760826994,0.0005692038090244866,1.43,0.87
119094,Axis Midcap Fund - Regular - Growth,Equity,Nifty_Midcap150,-0.0374366414591937,20.186887965417245,0.0011823491458919319,1.42,1.0
119095,Axis Small Cap Fund - Regular - Growth,Equity,Bse_Smallcap,-0.04557988150841553,-1.0068051574023353,0.00162090695626381,0.51,1.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Crisil_Gilt,-0.0009345364767221875,-0.8953658794723041,9.468818853490486e-07,1.6,0.22
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,Nifty100,-0.031751441138909736,16.494622793232175,0.0008869788879322819,0.87,0.89
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,Nifty100,-0.026159307513513405,13.198563868025124,0.0005850821704543426,1.78,0.87
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,Bse_Smallcap,-0.04755096959775993,24.7020051448291,0.001753759735829688,1.23,0.89
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,Bse_Smallcap,0.011253156883734346,-1.6484188894357696,9.972525841697185e-05,1.13,1.04
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Nifty100,-0.04026895236982059,10.94155417544024,0.00139744460833186,0.66,0.96
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Nifty100,0.016232169761417017,14.800336116974938,0.00021216129075887492,0.88,1.03
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,Nifty_Midcap150,-0.0015796991881794893,22.799624838761527,2.1306672712270584e-06,0.89,1.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Nifty500,0.05483477744880084,9.065207055935971,0.0024919492953185103,0.55,0.92
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,Crisil_Liquid,0.059502471997980116,0.25434456763313107,0.0038838607625674487,1.85,0.26
120841,Kotak Bluechip Fund - Regular - Growth,Equity,Nifty100,0.036356399022199795,6.77924104434975,0.0012113711061211873,1.27,0.93
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,Nifty_Midcap150,-0.03507636077772988,2.1227706438522094,0.0012208253350543697,1.91,1.0
120843,Kotak Flexicap Fund - Regular - Growth,Equity,Nifty500,-0.024945297987258194,21.132142410062023,0.00047396975044584926,1.85,0.95
120844,Kotak Liquid Fund - Regular - Growth,Debt,Crisil_Liquid,0.02380444138996716,-0.04175473896558545,0.0005754909557842081,1.52,0.47
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Nifty100,0.04882040425957737,11.547087555219019,0.0018401792783071561,1.13,0.97
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Nifty_Midcap150,0.05923429085211691,4.228842808237888,0.0033100402839203067,0.9,1.04
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Nifty100,0.02368355807584861,20.63769456941109,0.00046254369066238454,1.62,0.96
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Nifty500,0.012593548018602078,14.104059477490766,0.00012807630827109875,1.7,0.99
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Nifty500,0.038195190019218436,21.25669547380825,0.0008978496273845756,0.54,0.98
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,Nifty100,-0.004050271130006498,6.6468634637543875,1.3227607880850222e-05,1.82,0.91
149323,DSP Midcap Fund - Regular - Growth,Equity,Nifty_Midcap150,-0.011374472404232668,20.33816558147066,0.000130535253103905,1.02,0.98
149324,DSP Small Cap Fund - Regular - Growth,Equity,Bse_Smallcap,0.02854999752567132,23.030895504704745,0.0006475952841560571,0.69,0.98
